# realtime, hour, min, alt, baseline, rate, SC
44668.302777778 19 16 43.71 90.12 754.54 0.27
44668.303472223 19 17 43.80 90.27 754.98 0.27
44668.304166667 19 18 43.88 90.42 755.43 0.27
44668.304861111 19 19 43.96 90.58 755.87 0.26
44668.305555556 19 20 44.04 90.73 756.27 0.26
44668.306250000 19 21 44.12 90.88 756.62 0.26
44668.306944445 19 22 44.20 91.03 756.97 0.26
44668.307638889 19 23 44.28 91.18 757.32 0.26
44668.308333334 19 24 44.35 91.33 757.66 0.26
44668.309027778 19 25 44.43 91.48 758.01 0.26
44668.309722223 19 26 44.51 91.63 758.35 0.25
44668.310416667 19 27 44.59 91.78 758.69 0.25
44668.311111111 19 28 44.67 91.93 759.03 0.25
44668.311805556 19 29 44.74 92.08 759.36 0.25
44668.312500000 19 30 44.82 92.22 759.70 0.25
44668.313194445 19 31 44.89 92.37 760.03 0.25
44668.313888889 19 32 44.97 92.52 760.36 0.25
44668.314583334 19 33 45.04 92.66 760.73 0.25
44668.315277778 19 34 45.12 92.81 761.14 0.24
44668.315972223 19 35 45.19 92.96 761.55 0.24
44668.316666667 19 36 45.26 93.10 761.95 0.24
44668.317361111 19 37 45.34 93.24 762.35 0.24
44668.318055556 19 38 45.41 93.39 762.75 0.24
44668.318750000 19 39 45.48 93.53 763.14 0.24
44668.319444445 19 40 45.55 93.67 763.53 0.24
44668.320138889 19 41 45.62 93.82 763.92 0.24
44668.320833334 19 42 45.70 93.96 764.31 0.23
44668.321527778 19 43 45.77 94.10 764.70 0.23
44668.322222223 19 44 45.83 94.24 765.08 0.23
44668.322916667 19 45 45.90 94.38 765.46 0.23
44668.323611111 19 46 45.97 94.52 765.83 0.23
44668.324305556 19 47 46.04 94.66 766.16 0.23
44668.325000000 19 48 46.11 94.80 766.46 0.23
44668.325694445 19 49 46.18 94.94 766.75 0.23
44668.326388889 19 50 46.24 95.08 767.05 0.23
44668.327083334 19 51 46.31 95.21 767.34 0.22
44668.327777778 19 52 46.37 95.35 767.62 0.22
44668.328472223 19 53 46.44 95.49 767.91 0.22
44668.329166667 19 54 46.50 95.62 768.19 0.22
44668.329861112 19 55 46.57 95.76 768.47 0.22
44668.330555556 19 56 46.63 95.90 768.75 0.22
44668.331250000 19 57 46.69 96.03 769.03 0.22
44668.331944445 19 58 46.76 96.16 769.30 0.22
44668.332638889 19 59 46.82 96.30 769.58 0.22
44668.333333334 20 00 46.88 96.43 769.84 0.21
44668.334027778 20 01 46.94 96.56 770.11 0.21
44668.334722223 20 02 47.00 96.70 770.38 0.21
44668.335416667 20 03 47.06 96.83 770.64 0.21
44668.336111112 20 04 47.12 96.96 770.90 0.21
44668.336805556 20 05 47.18 97.09 771.16 0.21
44668.337500000 20 06 47.24 97.22 771.41 0.21
44668.338194445 20 07 47.29 97.35 771.67 0.21
44668.338888889 20 08 47.35 97.48 771.92 0.21
44668.339583334 20 09 47.41 97.61 772.16 0.20
44668.340277778 20 10 47.46 97.74 772.41 0.20
44668.340972223 20 11 47.52 97.86 772.65 0.20
44668.341666667 20 12 47.57 97.99 772.89 0.20
44668.342361112 20 13 47.63 98.12 773.13 0.20
44668.343055556 20 14 47.68 98.24 773.37 0.20
44668.343750000 20 15 47.74 98.37 773.60 0.20
44668.344444445 20 16 47.79 98.50 773.83 0.20
44668.345138889 20 17 47.84 98.62 774.06 0.20
44668.345833334 20 18 47.89 98.75 774.28 0.20
44668.346527778 20 19 47.94 98.87 774.51 0.20
44668.347222223 20 20 47.99 98.99 774.73 0.19
44668.347916667 20 21 48.04 99.12 774.95 0.19
44668.348611112 20 22 48.09 99.24 775.16 0.19
44668.349305556 20 23 48.14 99.36 775.37 0.19
44668.350000000 20 24 48.19 99.48 775.58 0.19
44668.350694445 20 25 48.23 99.60 775.79 0.19
44668.351388889 20 26 48.28 99.72 775.99 0.19
44668.352083334 20 27 48.33 99.84 776.20 0.19
44668.352777778 20 28 48.37 99.96 776.40 0.19
44668.353472223 20 29 48.42 100.08 776.59 0.19
44668.354166667 20 30 48.46 100.20 776.79 0.19
44668.354861112 20 31 48.50 100.32 776.98 0.18
44668.355555556 20 32 48.55 100.43 777.17 0.18
44668.356250000 20 33 48.59 100.55 777.35 0.18
44668.356944445 20 34 48.63 100.67 777.53 0.18
44668.357638889 20 35 48.67 100.78 777.71 0.18
44668.358333334 20 36 48.71 100.90 777.89 0.18
44668.359027778 20 37 48.75 101.01 778.07 0.18
44668.359722223 20 38 48.79 101.13 778.24 0.18
44668.360416667 20 39 48.83 101.24 778.41 0.18
44668.361111112 20 40 48.87 101.35 778.57 0.18
44668.361805556 20 41 48.91 101.47 778.74 0.18
44668.362500001 20 42 48.94 101.58 778.90 0.18
44668.363194445 20 43 48.98 101.69 779.06 0.17
44668.363888889 20 44 49.01 101.80 779.20 0.17
44668.364583334 20 45 49.05 101.91 779.31 0.17
44668.365277778 20 46 49.08 102.02 779.42 0.17
44668.365972223 20 47 49.12 102.13 779.53 0.17
44668.366666667 20 48 49.15 102.24 779.64 0.17
44668.367361112 20 49 49.18 102.35 779.75 0.17
44668.368055556 20 50 49.21 102.46 779.85 0.17
44668.368750001 20 51 49.24 102.57 779.95 0.17
44668.369444445 20 52 49.27 102.67 780.05 0.17
44668.370138889 20 53 49.30 102.78 780.15 0.17
44668.370833334 20 54 49.33 102.89 780.24 0.17
44668.371527778 20 55 49.36 102.99 780.33 0.17
44668.372222223 20 56 49.39 103.10 780.42 0.16
44668.372916667 20 57 49.41 103.20 780.51 0.16
44668.373611112 20 58 49.44 103.31 780.60 0.16
44668.374305556 20 59 49.46 103.41 780.68 0.16
44668.375000001 21 00 49.49 103.51 780.76 0.16
44668.375694445 21 01 49.51 103.62 780.84 0.16
44668.376388889 21 02 49.54 103.72 780.92 0.16
44668.377083334 21 03 49.56 103.82 780.99 0.16
44668.377777778 21 04 49.58 103.92 781.07 0.16
44668.378472223 21 05 49.60 104.02 781.14 0.16
44668.379166667 21 06 49.62 104.12 781.21 0.16
44668.379861112 21 07 49.64 104.22 781.27 0.16
44668.380555556 21 08 49.66 104.32 781.33 0.16
44668.381250001 21 09 49.68 104.42 781.40 0.16
44668.381944445 21 10 49.70 104.52 781.46 0.15
44668.382638889 21 11 49.72 104.62 781.51 0.15
44668.383333334 21 12 49.73 104.72 781.57 0.15
44668.384027778 21 13 49.75 104.81 781.62 0.15
44668.384722223 21 14 49.76 104.91 781.67 0.15
44668.385416667 21 15 49.78 105.00 781.72 0.15
44668.386111112 21 16 49.79 105.10 781.76 0.15
44668.386805556 21 17 49.81 105.20 781.80 0.15
44668.387500001 21 18 49.82 105.29 781.85 0.15
44668.388194445 21 19 49.83 105.38 781.88 0.15
44668.388888889 21 20 49.84 105.48 781.92 0.15
44668.389583334 21 21 49.85 105.57 781.95 0.15
44668.390277778 21 22 49.86 105.66 781.99 0.15
44668.390972223 21 23 49.87 105.75 782.02 0.15
44668.391666667 21 24 49.88 105.85 782.04 0.15
44668.392361112 21 25 49.89 105.94 782.07 0.15
44668.393055556 21 26 49.89 106.03 782.09 0.14
44668.393750001 21 27 49.90 106.12 782.11 0.14
44668.394444445 21 28 49.90 106.21 782.13 0.14
44668.395138890 21 29 49.91 106.30 782.14 0.14
44668.395833334 21 30 49.91 106.38 782.16 0.14
44668.396527778 21 31 49.92 106.47 782.17 0.14
44668.397222223 21 32 49.92 106.56 782.18 0.14
44668.397916667 21 33 49.92 106.65 782.18 0.14
44668.398611112 21 34 49.92 106.73 782.19 0.14
44668.399305556 21 35 49.92 106.82 782.19 0.14
44668.400000001 21 36 49.92 106.91 782.19 0.14
44668.400694445 21 37 49.92 106.99 782.18 0.14
44668.401388890 21 38 49.92 107.08 782.18 0.14
44668.402083334 21 39 49.92 107.16 782.17 0.14
44668.402777778 21 40 49.91 107.24 782.16 0.14
44668.403472223 21 41 49.91 107.33 782.15 0.14
44668.404166667 21 42 49.91 107.41 782.14 0.14
44668.404861112 21 43 49.90 107.49 782.12 0.14
44668.405555556 21 44 49.90 107.57 782.10 0.13
44668.406250001 21 45 49.89 107.66 782.08 0.13
44668.406944445 21 46 49.88 107.74 782.05 0.13
44668.407638890 21 47 49.87 107.82 782.03 0.13
44668.408333334 21 48 49.87 107.90 782.00 0.13
