# realtime, hour, min, alt, baseline, rate, SC
44667.222222222 17 20 31.84 69.34 671.26 0.48
44667.222916667 17 21 31.95 69.52 672.23 0.47
44667.223611111 17 22 32.06 69.71 673.25 0.47
44667.224305556 17 23 32.17 69.89 674.34 0.47
44667.225000000 17 24 32.28 70.07 675.42 0.47
44667.225694445 17 25 32.38 70.26 676.51 0.47
44667.226388889 17 26 32.49 70.44 677.59 0.47
44667.227083333 17 27 32.60 70.63 678.67 0.46
44667.227777778 17 28 32.71 70.81 679.75 0.46
44667.228472222 17 29 32.82 70.99 680.83 0.46
44667.229166667 17 30 32.93 71.18 681.91 0.46
44667.229861111 17 31 33.04 71.36 682.90 0.46
44667.230555556 17 32 33.15 71.54 683.73 0.45
44667.231250000 17 33 33.26 71.73 684.57 0.45
44667.231944445 17 34 33.37 71.91 685.40 0.45
44667.232638889 17 35 33.48 72.10 686.24 0.45
44667.233333333 17 36 33.58 72.28 687.07 0.45
44667.234027778 17 37 33.69 72.46 687.90 0.44
44667.234722222 17 38 33.80 72.65 688.73 0.44
44667.235416667 17 39 33.91 72.83 689.56 0.44
44667.236111111 17 40 34.02 73.01 690.41 0.44
44667.236805556 17 41 34.12 73.20 691.36 0.44
44667.237500000 17 42 34.23 73.38 692.30 0.43
44667.238194445 17 43 34.34 73.56 693.25 0.43
44667.238888889 17 44 34.45 73.74 694.19 0.43
44667.239583333 17 45 34.55 73.93 695.13 0.43
44667.240277778 17 46 34.66 74.11 696.07 0.43
44667.240972222 17 47 34.77 74.29 697.01 0.42
44667.241666667 17 48 34.88 74.47 697.95 0.42
44667.242361111 17 49 34.98 74.66 698.88 0.42
44667.243055556 17 50 35.09 74.84 699.72 0.42
44667.243750000 17 51 35.19 75.02 700.54 0.42
44667.244444445 17 52 35.30 75.20 701.35 0.41
44667.245138889 17 53 35.41 75.38 702.17 0.41
44667.245833333 17 54 35.51 75.56 702.98 0.41
44667.246527778 17 55 35.62 75.75 703.79 0.41
44667.247222222 17 56 35.72 75.93 704.60 0.41
44667.247916667 17 57 35.83 76.11 705.41 0.40
44667.248611111 17 58 35.93 76.29 706.22 0.40
44667.249305556 17 59 36.04 76.47 706.98 0.40
44667.250000000 18 00 36.14 76.65 707.67 0.40
44667.250694445 18 01 36.25 76.83 708.36 0.40
44667.251388889 18 02 36.35 77.01 709.05 0.40
44667.252083333 18 03 36.46 77.19 709.74 0.39
44667.252777778 18 04 36.56 77.37 710.42 0.39
44667.253472222 18 05 36.67 77.55 711.11 0.39
44667.254166667 18 06 36.77 77.73 711.79 0.39
44667.254861111 18 07 36.87 77.91 712.47 0.39
44667.255555556 18 08 36.98 78.08 713.15 0.38
44667.256250000 18 09 37.08 78.26 713.91 0.38
44667.256944445 18 10 37.18 78.44 714.70 0.38
44667.257638889 18 11 37.28 78.62 715.49 0.38
44667.258333333 18 12 37.39 78.80 716.28 0.38
44667.259027778 18 13 37.49 78.97 717.07 0.37
44667.259722222 18 14 37.59 79.15 717.85 0.37
44667.260416667 18 15 37.69 79.33 718.63 0.37
44667.261111111 18 16 37.79 79.51 719.41 0.37
44667.261805556 18 17 37.90 79.68 720.19 0.37
44667.262500000 18 18 38.00 79.86 720.97 0.37
44667.263194445 18 19 38.10 80.03 721.64 0.36
44667.263888889 18 20 38.20 80.21 722.30 0.36
44667.264583334 18 21 38.30 80.38 722.96 0.36
44667.265277778 18 22 38.40 80.56 723.62 0.36
44667.265972222 18 23 38.50 80.73 724.28 0.36
44667.266666667 18 24 38.60 80.91 724.93 0.36
44667.267361111 18 25 38.70 81.08 725.59 0.35
44667.268055556 18 26 38.80 81.26 726.24 0.35
44667.268750000 18 27 38.90 81.43 726.90 0.35
44667.269444445 18 28 39.00 81.60 727.55 0.35
44667.270138889 18 29 39.09 81.78 728.09 0.35
44667.270833334 18 30 39.19 81.95 728.63 0.34
44667.271527778 18 31 39.29 82.12 729.17 0.34
44667.272222222 18 32 39.39 82.29 729.70 0.34
44667.272916667 18 33 39.49 82.47 730.24 0.34
44667.273611111 18 34 39.58 82.64 730.77 0.34
44667.274305556 18 35 39.68 82.81 731.30 0.34
44667.275000000 18 36 39.78 82.98 731.84 0.33
44667.275694445 18 37 39.87 83.15 732.36 0.33
44667.276388889 18 38 39.97 83.32 732.89 0.33
44667.277083334 18 39 40.06 83.49 733.49 0.33
44667.277777778 18 40 40.16 83.66 734.12 0.33
44667.278472222 18 41 40.26 83.83 734.75 0.33
44667.279166667 18 42 40.35 84.00 735.37 0.32
44667.279861111 18 43 40.45 84.17 735.99 0.32
44667.280555556 18 44 40.54 84.33 736.62 0.32
44667.281250000 18 45 40.63 84.50 737.24 0.32
44667.281944445 18 46 40.73 84.67 737.85 0.32
44667.282638889 18 47 40.82 84.84 738.47 0.32
44667.283333334 18 48 40.91 85.00 739.08 0.32
44667.284027778 18 49 41.01 85.17 739.69 0.31
44667.284722222 18 50 41.10 85.34 740.19 0.31
44667.285416667 18 51 41.19 85.50 740.70 0.31
44667.286111111 18 52 41.28 85.67 741.21 0.31
44667.286805556 18 53 41.38 85.83 741.71 0.31
44667.287500000 18 54 41.47 86.00 742.21 0.31
44667.288194445 18 55 41.56 86.16 742.71 0.30
44667.288888889 18 56 41.65 86.32 743.21 0.30
44667.289583334 18 57 41.74 86.49 743.70 0.30
44667.290277778 18 58 41.83 86.65 744.20 0.30
44667.290972222 18 59 41.92 86.81 744.69 0.30
44667.291666667 19 00 42.01 86.97 745.18 0.30
44667.292361111 19 01 42.10 87.14 745.67 0.29
44667.293055556 19 02 42.19 87.30 746.15 0.29
44667.293750000 19 03 42.27 87.46 746.64 0.29
44667.294444445 19 04 42.36 87.62 747.12 0.29
44667.295138889 19 05 42.45 87.78 747.60 0.29
44667.295833334 19 06 42.54 87.94 748.08 0.29
44667.296527778 19 07 42.62 88.10 748.56 0.29
44667.297222223 19 08 42.71 88.26 749.03 0.28
44667.297916667 19 09 42.80 88.41 749.50 0.28
44667.298611111 19 10 42.88 88.57 749.97 0.28
44667.299305556 19 11 42.97 88.73 750.44 0.28
44667.300000000 19 12 43.05 88.89 750.91 0.28
44667.300694445 19 13 43.14 89.04 751.37 0.28
44667.301388889 19 14 43.22 89.20 751.84 0.28
44667.302083334 19 15 43.31 89.36 752.30 0.27
44667.302777778 19 16 43.39 89.51 752.76 0.27
44667.303472223 19 17 43.47 89.67 753.21 0.27
44667.304166667 19 18 43.56 89.82 753.67 0.27
44667.304861111 19 19 43.64 89.98 754.12 0.27
44667.305555556 19 20 43.72 90.13 754.57 0.27
44667.306250000 19 21 43.80 90.28 755.01 0.27
44667.306944445 19 22 43.88 90.44 755.46 0.26
44667.307638889 19 23 43.96 90.59 755.90 0.26
44667.308333334 19 24 44.04 90.74 756.30 0.26
44667.309027778 19 25 44.12 90.89 756.65 0.26
44667.309722223 19 26 44.20 91.04 757.00 0.26
44667.310416667 19 27 44.28 91.19 757.34 0.26
44667.311111111 19 28 44.36 91.34 757.69 0.26
44667.311805556 19 29 44.44 91.49 758.03 0.26
44667.312500000 19 30 44.52 91.64 758.37 0.25
44667.313194445 19 31 44.59 91.79 758.71 0.25
44667.313888889 19 32 44.67 91.94 759.05 0.25
44667.314583334 19 33 44.75 92.09 759.39 0.25
44667.315277778 19 34 44.82 92.23 759.72 0.25
44667.315972223 19 35 44.90 92.38 760.05 0.25
44667.316666667 19 36 44.97 92.53 760.38 0.25
44667.317361111 19 37 45.05 92.67 760.76 0.25
44667.318055556 19 38 45.12 92.82 761.17 0.24
44667.318750000 19 39 45.20 92.97 761.57 0.24
44667.319444445 19 40 45.27 93.11 761.98 0.24
44667.320138889 19 41 45.34 93.25 762.38 0.24
44667.320833334 19 42 45.42 93.40 762.77 0.24
44667.321527778 19 43 45.49 93.54 763.17 0.24
44667.322222223 19 44 45.56 93.68 763.56 0.24
44667.322916667 19 45 45.63 93.83 763.95 0.24
44667.323611111 19 46 45.70 93.97 764.34 0.23
44667.324305556 19 47 45.77 94.11 764.72 0.23
44667.325000000 19 48 45.84 94.25 765.10 0.23
44667.325694445 19 49 45.91 94.39 765.48 0.23
44667.326388889 19 50 45.98 94.53 765.86 0.23
44667.327083334 19 51 46.05 94.67 766.18 0.23
44667.327777778 19 52 46.11 94.81 766.48 0.23
44667.328472223 19 53 46.18 94.95 766.77 0.23
44667.329166667 19 54 46.25 95.09 767.07 0.23
44667.329861112 19 55 46.31 95.22 767.36 0.22
44667.330555556 19 56 46.38 95.36 767.64 0.22
44667.331250000 19 57 46.44 95.50 767.93 0.22
44667.331944445 19 58 46.51 95.63 768.21 0.22
44667.332638889 19 59 46.57 95.77 768.49 0.22
44667.333333334 20 00 46.64 95.90 768.77 0.22
44667.334027778 20 01 46.70 96.04 769.05 0.22
44667.334722223 20 02 46.76 96.17 769.32 0.22
44667.335416667 20 03 46.82 96.31 769.59 0.22
44667.336111112 20 04 46.88 96.44 769.86 0.21
44667.336805556 20 05 46.94 96.57 770.13 0.21
44667.337500000 20 06 47.01 96.71 770.40 0.21
44667.338194445 20 07 47.06 96.84 770.66 0.21
44667.338888889 20 08 47.12 96.97 770.92 0.21
44667.339583334 20 09 47.18 97.10 771.18 0.21
44667.340277778 20 10 47.24 97.23 771.43 0.21
44667.340972223 20 11 47.30 97.36 771.68 0.21
44667.341666667 20 12 47.36 97.49 771.93 0.21
44667.342361112 20 13 47.41 97.62 772.18 0.20
44667.343055556 20 14 47.47 97.75 772.43 0.20
44667.343750000 20 15 47.52 97.87 772.67 0.20
44667.344444445 20 16 47.58 98.00 772.91 0.20
44667.345138889 20 17 47.63 98.13 773.15 0.20
44667.345833334 20 18 47.69 98.25 773.38 0.20
44667.346527778 20 19 47.74 98.38 773.62 0.20
44667.347222223 20 20 47.79 98.50 773.85 0.20
44667.347916667 20 21 47.84 98.63 774.07 0.20
44667.348611112 20 22 47.89 98.75 774.30 0.20
44667.349305556 20 23 47.95 98.88 774.52 0.20
44667.350000000 20 24 48.00 99.00 774.74 0.19
44667.350694445 20 25 48.05 99.12 774.96 0.19
44667.351388889 20 26 48.09 99.25 775.18 0.19
44667.352083334 20 27 48.14 99.37 775.39 0.19
44667.352777778 20 28 48.19 99.49 775.60 0.19
44667.353472223 20 29 48.24 99.61 775.80 0.19
44667.354166667 20 30 48.28 99.73 776.01 0.19
44667.354861112 20 31 48.33 99.85 776.21 0.19
44667.355555556 20 32 48.38 99.97 776.41 0.19
44667.356250000 20 33 48.42 100.09 776.61 0.19
44667.356944445 20 34 48.46 100.21 776.80 0.19
44667.357638889 20 35 48.51 100.32 776.99 0.18
44667.358333334 20 36 48.55 100.44 777.18 0.18
44667.359027778 20 37 48.59 100.56 777.36 0.18
44667.359722223 20 38 48.63 100.67 777.55 0.18
44667.360416667 20 39 48.68 100.79 777.73 0.18
44667.361111112 20 40 48.72 100.91 777.90 0.18
44667.361805556 20 41 48.76 101.02 778.08 0.18
44667.362500001 20 42 48.79 101.13 778.25 0.18
44667.363194445 20 43 48.83 101.25 778.42 0.18
44667.363888889 20 44 48.87 101.36 778.59 0.18
