# 41.783930046486006 2.4721613807465804e-09 
# bl	dbl	scA	dscA
8.377778650949574057e+01 8.338225039128218441e+00 2.419891979884269162e+01 3.078513196995226409e+00
1.072353438113948840e+02 5.100672618594716212e+00 1.691408346914571226e+01 2.628878442694231321e+00
1.185606221349050458e+02 1.565225265034541069e+00 1.318965082322038107e+01 2.546059951827908119e+00
9.351732415902141327e+01 6.247626413785951627e+00 2.348410803219250909e+01 3.950386542732932327e+00
1.107727064220183593e+02 3.690989340042501343e+00 1.083215427157667499e+01 3.721163201150728739e+00
9.560442446043164466e+01 5.126811965319872044e+00 2.142153286960491343e+01 3.337434741270810523e+00
1.101550359712230147e+02 3.261003453522539619e+00 2.307317947519281631e+01 3.158685350178307871e+00
5.429999999999999716e+00 2.500000000000000000e+00 3.931320977670850425e+01 9.290202485118273401e+00
