# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 02 17 00 64.72 0.00 0.00 0.00 0.00
2023 05 02 17 01 64.66 0.00 0.00 0.00 0.00
2023 05 02 17 02 64.60 0.00 0.00 0.00 0.00
2023 05 02 17 03 64.54 0.00 0.00 0.00 0.00
2023 05 02 17 04 64.48 0.00 0.00 0.00 0.00
2023 05 02 17 05 64.41 0.00 0.00 0.00 0.00
2023 05 02 17 06 64.35 0.00 0.00 0.00 0.00
2023 05 02 17 07 64.28 0.00 0.00 0.00 0.00
2023 05 02 17 08 64.21 0.00 0.00 0.00 0.00
2023 05 02 17 09 64.14 168.79 111.50 117.73 85.46
2023 05 02 17 10 64.07 168.73 111.39 117.78 85.74
2023 05 02 17 11 64.00 168.67 111.28 117.82 86.02
2023 05 02 17 12 63.92 168.60 111.17 117.87 86.31
2023 05 02 17 13 63.85 168.54 111.05 117.92 86.59
2023 05 02 17 14 63.77 168.47 110.94 117.96 86.86
2023 05 02 17 15 63.69 168.40 110.83 118.00 87.14
2023 05 02 17 16 63.62 168.33 110.71 118.05 87.42
2023 05 02 17 17 63.54 168.26 110.60 118.09 87.69
2023 05 02 17 18 63.45 168.19 110.48 118.13 87.97
2023 05 02 17 19 63.37 168.11 110.37 118.17 88.24
2023 05 02 17 20 63.29 168.03 110.25 118.21 88.51
2023 05 02 17 21 63.20 167.96 110.13 118.25 88.78
2023 05 02 17 22 63.12 167.88 110.01 118.29 89.05
2023 05 02 17 23 63.03 167.80 109.89 118.33 89.32
2023 05 02 17 24 62.94 167.72 109.77 118.37 89.58
2023 05 02 17 25 62.85 167.64 109.65 118.41 89.85
2023 05 02 17 26 62.76 167.55 109.52 118.45 90.11
2023 05 02 17 27 62.67 167.47 109.40 118.49 90.37
2023 05 02 17 28 62.57 167.38 109.28 118.52 90.63
2023 05 02 17 29 62.48 167.29 109.15 118.56 90.89
2023 05 02 17 30 62.38 167.20 109.02 118.59 91.14
2023 05 02 17 31 62.29 167.11 108.90 118.63 91.40
2023 05 02 17 32 62.19 167.02 108.77 118.66 91.65
2023 05 02 17 33 62.09 166.93 108.64 118.70 91.90
2023 05 02 17 34 61.99 166.83 108.51 118.73 92.15
2023 05 02 17 35 61.89 166.74 108.38 118.76 92.40
2023 05 02 17 36 61.79 166.64 108.25 118.80 92.65
2023 05 02 17 37 61.68 166.54 108.12 118.83 92.89
2023 05 02 17 38 61.58 166.44 107.98 118.86 93.14
2023 05 02 17 39 61.47 166.34 107.85 118.89 93.38
2023 05 02 17 40 61.37 166.24 107.71 118.92 93.62
2023 05 02 17 41 61.26 166.13 107.58 118.95 93.86
2023 05 02 17 42 61.15 166.03 107.44 118.98 94.09
2023 05 02 17 43 61.04 165.92 107.30 119.01 94.33
2023 05 02 17 44 60.93 165.81 107.16 119.04 94.56
2023 05 02 17 45 60.82 165.71 107.02 119.07 94.79
2023 05 02 17 46 60.71 165.60 106.88 119.10 95.02
2023 05 02 17 47 60.60 165.48 106.74 119.12 95.25
2023 05 02 17 48 60.48 165.37 106.60 119.15 95.47
2023 05 02 17 49 60.37 165.26 106.46 119.18 95.70
2023 05 02 17 50 60.25 165.14 106.31 119.20 95.92
2023 05 02 17 51 60.14 165.03 106.17 119.23 96.14
2023 05 02 17 52 60.02 164.91 106.02 119.26 96.35
2023 05 02 17 53 59.90 164.79 105.87 119.28 96.57
2023 05 02 17 54 59.78 164.67 105.73 119.30 96.78
2023 05 02 17 55 59.67 164.55 105.58 119.33 97.00
2023 05 02 17 56 59.54 164.43 105.43 119.35 97.21
2023 05 02 17 57 59.42 164.30 105.28 119.38 97.41
2023 05 02 17 58 59.30 164.18 105.13 119.40 97.62
2023 05 02 17 59 59.18 164.05 104.97 119.42 97.82
2023 05 02 18 00 59.06 163.93 104.82 119.44 98.03
2023 05 02 18 01 58.93 163.80 104.67 119.46 98.23
2023 05 02 18 02 58.81 163.67 104.51 119.48 98.43
2023 05 02 18 03 58.68 163.54 104.36 119.51 98.62
2023 05 02 18 04 58.55 163.41 104.20 119.53 98.82
2023 05 02 18 05 58.43 163.28 104.04 119.55 99.01
