# realtime, hour, min, alt, baseline, rate, SC
44671.422222223 22 08 32.68 69.68 505.97 0.76
44671.422916667 22 09 32.88 70.00 507.43 0.76
44671.423611112 22 10 33.08 70.32 508.77 0.75
44671.424305556 22 11 33.27 70.64 509.91 0.75
44671.425000001 22 12 33.47 70.96 511.05 0.75
44671.425694445 22 13 33.67 71.27 512.19 0.75
44671.426388890 22 14 33.87 71.59 513.33 0.75
44671.427083334 22 15 34.07 71.90 514.52 0.74
44671.427777778 22 16 34.27 72.22 515.83 0.74
44671.428472223 22 17 34.47 72.53 517.13 0.74
44671.429166667 22 18 34.67 72.84 518.43 0.74
44671.429861112 22 19 34.87 73.15 519.73 0.74
44671.430555556 22 20 35.07 73.46 520.98 0.73
44671.431250001 22 21 35.27 73.77 522.12 0.73
44671.431944445 22 22 35.47 74.08 523.26 0.73
44671.432638890 22 23 35.66 74.39 524.40 0.73
44671.433333334 22 24 35.86 74.69 525.54 0.73
44671.434027779 22 25 36.06 75.00 526.63 0.73
44671.434722223 22 26 36.26 75.31 527.61 0.72
44671.435416667 22 27 36.46 75.61 528.59 0.72
44671.436111112 22 28 36.66 75.91 529.57 0.72
44671.436805556 22 29 36.86 76.21 530.55 0.72
44671.437500001 22 30 37.06 76.51 531.58 0.72
44671.438194445 22 31 37.26 76.82 532.72 0.71
44671.438888890 22 32 37.46 77.11 533.86 0.71
44671.439583334 22 33 37.66 77.41 535.00 0.71
44671.440277779 22 34 37.86 77.71 536.14 0.71
44671.440972223 22 35 38.06 78.01 537.24 0.71
44671.441666667 22 36 38.26 78.30 538.22 0.70
44671.442361112 22 37 38.46 78.60 539.20 0.70
44671.443055556 22 38 38.66 78.89 540.18 0.70
44671.443750001 22 39 38.86 79.18 541.16 0.70
44671.444444445 22 40 39.06 79.47 542.09 0.70
44671.445138890 22 41 39.26 79.76 542.90 0.69
44671.445833334 22 42 39.46 80.05 543.72 0.69
44671.446527779 22 43 39.66 80.34 544.54 0.69
44671.447222223 22 44 39.86 80.63 545.35 0.69
44671.447916667 22 45 40.06 80.92 546.22 0.69
44671.448611112 22 46 40.26 81.20 547.20 0.68
44671.449305556 22 47 40.46 81.49 548.18 0.68
44671.450000001 22 48 40.66 81.77 549.16 0.68
44671.450694445 22 49 40.86 82.05 550.14 0.68
44671.451388890 22 50 41.06 82.34 551.07 0.68
44671.452083334 22 51 41.26 82.62 551.89 0.68
44671.452777779 22 52 41.46 82.90 552.70 0.67
44671.453472223 22 53 41.66 83.18 553.52 0.67
44671.454166667 22 54 41.86 83.45 554.34 0.67
44671.454861112 22 55 42.06 83.73 555.15 0.67
44671.455555556 22 56 42.26 84.01 555.97 0.67
44671.456250001 22 57 42.46 84.28 556.79 0.66
44671.456944445 22 58 42.66 84.56 557.60 0.66
44671.457638890 22 59 42.86 84.83 558.42 0.66
44671.458333334 23 00 43.06 85.10 559.24 0.66
44671.459027779 23 01 43.26 85.37 560.05 0.66
44671.459722223 23 02 43.46 85.64 560.87 0.66
44671.460416667 23 03 43.65 85.91 561.69 0.65
44671.461111112 23 04 43.85 86.18 562.50 0.65
44671.461805556 23 05 44.05 86.44 563.27 0.65
