# realtime, hour, min, alt, baseline, rate, SC
44669.427777778 22 16 32.71 69.73 506.17 0.76
44669.428472223 22 17 32.90 70.05 507.64 0.76
44669.429166667 22 18 33.10 70.37 508.93 0.75
44669.429861112 22 19 33.30 70.68 510.07 0.75
44669.430555556 22 20 33.50 71.00 511.21 0.75
44669.431250001 22 21 33.70 71.32 512.34 0.75
44669.431944445 22 22 33.90 71.63 513.48 0.75
44669.432638890 22 23 34.10 71.95 514.70 0.74
44669.433333334 22 24 34.30 72.26 516.00 0.74
44669.434027779 22 25 34.50 72.57 517.31 0.74
44669.434722223 22 26 34.70 72.88 518.61 0.74
44669.435416667 22 27 34.90 73.20 519.91 0.74
44669.436111112 22 28 35.09 73.51 521.14 0.73
44669.436805556 22 29 35.29 73.81 522.28 0.73
44669.437500001 22 30 35.49 74.12 523.42 0.73
44669.438194445 22 31 35.69 74.43 524.56 0.73
44669.438888890 22 32 35.89 74.74 525.70 0.73
44669.439583334 22 33 36.09 75.04 526.77 0.72
44669.440277779 22 34 36.29 75.35 527.75 0.72
44669.440972223 22 35 36.49 75.65 528.72 0.72
44669.441666667 22 36 36.69 75.95 529.70 0.72
44669.442361112 22 37 36.89 76.26 530.68 0.72
44669.443055556 22 38 37.09 76.56 531.73 0.72
44669.443750001 22 39 37.29 76.86 532.87 0.71
44669.444444445 22 40 37.49 77.16 534.02 0.71
44669.445138890 22 41 37.69 77.45 535.16 0.71
44669.445833334 22 42 37.89 77.75 536.30 0.71
44669.446527779 22 43 38.09 78.05 537.37 0.71
44669.447222223 22 44 38.29 78.34 538.35 0.70
44669.447916667 22 45 38.49 78.64 539.33 0.70
44669.448611112 22 46 38.69 78.93 540.31 0.70
44669.449305556 22 47 38.89 79.22 541.29 0.70
44669.450000001 22 48 39.09 79.51 542.20 0.70
44669.450694445 22 49 39.29 79.80 543.02 0.69
44669.451388890 22 50 39.49 80.09 543.83 0.69
44669.452083334 22 51 39.69 80.38 544.65 0.69
44669.452777779 22 52 39.89 80.67 545.47 0.69
44669.453472223 22 53 40.09 80.96 546.35 0.69
44669.454166667 22 54 40.29 81.24 547.33 0.68
44669.454861112 22 55 40.49 81.53 548.31 0.68
44669.455555556 22 56 40.69 81.81 549.29 0.68
44669.456250001 22 57 40.88 82.09 550.27 0.68
44669.456944445 22 58 41.08 82.37 551.18 0.68
44669.457638890 22 59 41.28 82.66 552.00 0.68
44669.458333334 23 00 41.48 82.94 552.82 0.67
44669.459027779 23 01 41.68 83.21 553.63 0.67
44669.459722223 23 02 41.88 83.49 554.45 0.67
44669.460416667 23 03 42.08 83.77 555.27 0.67
44669.461111112 23 04 42.28 84.04 556.08 0.67
44669.461805556 23 05 42.48 84.32 556.90 0.66
44669.462500001 23 06 42.68 84.59 557.72 0.66
44669.463194445 23 07 42.88 84.87 558.53 0.66
44669.463888890 23 08 43.08 85.14 559.35 0.66
44669.464583334 23 09 43.28 85.41 560.17 0.66
44669.465277779 23 10 43.48 85.68 560.98 0.65
44669.465972223 23 11 43.68 85.95 561.80 0.65
44669.466666668 23 12 43.88 86.21 562.61 0.65
44669.467361112 23 13 44.08 86.48 563.36 0.65
44669.468055556 23 14 44.28 86.75 564.02 0.65
44669.468750001 23 15 44.48 87.01 564.67 0.65
44669.469444445 23 16 44.68 87.27 565.32 0.64
44669.470138890 23 17 44.88 87.54 565.97 0.64
44669.470833334 23 18 45.08 87.80 566.69 0.64
44669.471527779 23 19 45.28 88.06 567.51 0.64
44669.472222223 23 20 45.48 88.32 568.32 0.64
44669.472916668 23 21 45.68 88.58 569.14 0.64
44669.473611112 23 22 45.88 88.83 569.95 0.63
44669.474305556 23 23 46.08 89.09 570.70 0.63
44669.475000001 23 24 46.28 89.34 571.35 0.63
44669.475694445 23 25 46.48 89.60 572.01 0.63
44669.476388890 23 26 46.67 89.85 572.66 0.63
44669.477083334 23 27 46.87 90.10 573.31 0.62
44669.477777779 23 28 47.07 90.35 573.96 0.62
44669.478472223 23 29 47.27 90.60 574.61 0.62
44669.479166668 23 30 47.47 90.85 575.26 0.62
44669.479861112 23 31 47.67 91.10 575.91 0.62
44669.480555556 23 32 47.87 91.35 576.56 0.62
44669.481250001 23 33 48.07 91.59 577.21 0.61
44669.481944445 23 34 48.27 91.84 577.86 0.61
44669.482638890 23 35 48.47 92.08 578.51 0.61
44669.483333334 23 36 48.66 92.32 579.16 0.61
44669.484027779 23 37 48.86 92.57 579.81 0.61
44669.484722223 23 38 49.06 92.81 580.41 0.61
44669.485416668 23 39 49.26 93.05 580.90 0.60
44669.486111112 23 40 49.46 93.28 581.38 0.60
44669.486805556 23 41 49.66 93.52 581.87 0.60
44669.487500001 23 42 49.85 93.76 582.35 0.60
44669.488194445 23 43 50.05 93.99 582.88 0.60
44669.488888890 23 44 50.25 94.23 583.53 0.60
44669.489583334 23 45 50.45 94.46 584.18 0.60
44669.490277779 23 46 50.65 94.69 584.82 0.59
44669.490972223 23 47 50.84 94.92 585.47 0.59
44669.491666668 23 48 51.04 95.15 586.08 0.59
44669.492361112 23 49 51.24 95.38 586.57 0.59
44669.493055556 23 50 51.44 95.61 587.05 0.59
44669.493750001 23 51 51.63 95.83 587.54 0.59
44669.494444445 23 52 51.83 96.06 588.02 0.58
44669.495138890 23 53 52.03 96.28 588.50 0.58
44669.495833334 23 54 52.23 96.50 588.99 0.58
44669.496527779 23 55 52.42 96.73 589.47 0.58
44669.497222223 23 56 52.62 96.95 589.95 0.58
44669.497916668 23 57 52.82 97.17 590.43 0.58
44669.498611112 23 58 53.01 97.38 590.92 0.58
44669.499305557 23 59 53.21 97.60 591.40 0.57
44669.500000001 00 00 53.41 97.82 591.88 0.57
44669.500694445 00 01 53.60 98.03 592.36 0.57
44669.501388890 00 02 53.80 98.25 592.84 0.57
44669.502083334 00 03 53.99 98.46 593.32 0.57
44669.502777779 00 04 54.19 98.67 593.80 0.57
44669.503472223 00 05 54.39 98.88 594.28 0.56
44669.504166668 00 06 54.58 99.09 594.76 0.56
44669.504861112 00 07 54.78 99.30 595.24 0.56
44669.505555557 00 08 54.97 99.51 595.72 0.56
44669.506250001 00 09 55.17 99.72 596.20 0.56
44669.506944445 00 10 55.36 99.92 596.67 0.56
44669.507638890 00 11 55.56 100.13 597.15 0.56
44669.508333334 00 12 55.75 100.33 597.63 0.55
44669.509027779 00 13 55.95 100.53 598.10 0.55
44669.509722223 00 14 56.14 100.73 598.47 0.55
44669.510416668 00 15 56.33 100.93 598.78 0.55
44669.511111112 00 16 56.53 101.13 599.10 0.55
44669.511805557 00 17 56.72 101.33 599.42 0.55
44669.512500001 00 18 56.91 101.52 599.73 0.55
44669.513194445 00 19 57.11 101.72 600.14 0.55
44669.513888890 00 20 57.30 101.91 600.61 0.54
44669.514583334 00 21 57.49 102.11 601.08 0.54
44669.515277779 00 22 57.69 102.30 601.55 0.54
44669.515972223 00 23 57.88 102.49 602.03 0.54
44669.516666668 00 24 58.07 102.68 602.44 0.54
44669.517361112 00 25 58.26 102.87 602.75 0.54
44669.518055557 00 26 58.45 103.06 603.07 0.54
44669.518750001 00 27 58.64 103.24 603.38 0.53
44669.519444445 00 28 58.84 103.43 603.69 0.53
44669.520138890 00 29 59.03 103.61 604.03 0.53
44669.520833334 00 30 59.22 103.80 604.49 0.53
44669.521527779 00 31 59.41 103.98 604.96 0.53
44669.522222223 00 32 59.60 104.16 605.43 0.53
44669.522916668 00 33 59.79 104.34 605.89 0.53
44669.523611112 00 34 59.98 104.52 606.36 0.53
44669.524305557 00 35 60.17 104.70 606.68 0.53
44669.525000001 00 36 60.36 104.87 606.99 0.52
44669.525694445 00 37 60.54 105.05 607.30 0.52
44669.526388890 00 38 60.73 105.22 607.61 0.52
44669.527083334 00 39 60.92 105.39 607.92 0.52
44669.527777779 00 40 61.11 105.57 608.22 0.52
44669.528472223 00 41 61.30 105.74 608.53 0.52
44669.529166668 00 42 61.48 105.91 608.83 0.52
44669.529861112 00 43 61.67 106.08 609.14 0.52
44669.530555557 00 44 61.86 106.24 609.44 0.51
44669.531250001 00 45 62.04 106.41 609.75 0.51
44669.531944446 00 46 62.23 106.58 610.05 0.51
44669.532638890 00 47 62.41 106.74 610.35 0.51
44669.533333334 00 48 62.60 106.90 610.66 0.51
44669.534027779 00 49 62.78 107.07 610.96 0.51
44669.534722223 00 50 62.96 107.23 611.26 0.51
44669.535416668 00 51 63.15 107.39 611.56 0.51
44669.536111112 00 52 63.33 107.54 611.86 0.51
44669.536805557 00 53 63.51 107.70 612.16 0.50
44669.537500001 00 54 63.70 107.86 612.45 0.50
44669.538194446 00 55 63.88 108.01 612.75 0.50
44669.538888890 00 56 64.06 108.17 613.00 0.50
44669.539583334 00 57 64.24 108.32 613.15 0.50
44669.540277779 00 58 64.42 108.47 613.29 0.50
44669.540972223 00 59 64.60 108.63 613.44 0.50
44669.541666668 01 00 64.78 108.78 613.59 0.50
44669.542361112 01 01 64.96 108.92 613.73 0.50
44669.543055557 01 02 65.14 109.07 613.99 0.50
44669.543750001 01 03 65.31 109.22 614.28 0.49
44669.544444446 01 04 65.49 109.36 614.57 0.49
44669.545138890 01 05 65.67 109.51 614.86 0.49
44669.545833334 01 06 65.84 109.65 615.15 0.49
44669.546527779 01 07 66.02 109.79 615.43 0.49
44669.547222223 01 08 66.19 109.94 615.72 0.49
44669.547916668 01 09 66.37 110.08 616.00 0.49
44669.548611112 01 10 66.54 110.21 616.29 0.49
44669.549305557 01 11 66.71 110.35 616.57 0.49
44669.550000001 01 12 66.89 110.49 616.85 0.49
44669.550694446 01 13 67.06 110.63 617.08 0.48
44669.551388890 01 14 67.23 110.76 617.22 0.48
44669.552083334 01 15 67.40 110.89 617.36 0.48
44669.552777779 01 16 67.57 111.03 617.50 0.48
44669.553472223 01 17 67.74 111.16 617.64 0.48
44669.554166668 01 18 67.90 111.29 617.77 0.48
44669.554861112 01 19 68.07 111.42 617.97 0.48
44669.555555557 01 20 68.24 111.55 618.24 0.48
44669.556250001 01 21 68.40 111.67 618.51 0.48
44669.556944446 01 22 68.57 111.80 618.78 0.48
44669.557638890 01 23 68.73 111.92 619.05 0.48
44669.558333334 01 24 68.89 112.05 619.31 0.47
44669.559027779 01 25 69.05 112.17 619.53 0.47
44669.559722223 01 26 69.21 112.29 619.66 0.47
44669.560416668 01 27 69.37 112.41 619.79 0.47
44669.561111112 01 28 69.53 112.53 619.92 0.47
44669.561805557 01 29 69.69 112.65 620.05 0.47
44669.562500001 01 30 69.85 112.77 620.18 0.47
44669.563194446 01 31 70.00 112.89 620.31 0.47
44669.563888890 01 32 70.16 113.00 620.43 0.47
44669.564583334 01 33 70.31 113.12 620.56 0.47
44669.565277779 01 34 70.46 113.23 620.68 0.47
44669.565972223 01 35 70.61 113.34 620.81 0.47
44669.566666668 01 36 70.76 113.45 620.93 0.47
44669.567361112 01 37 70.91 113.56 621.05 0.46
44669.568055557 01 38 71.06 113.67 621.22 0.46
44669.568750001 01 39 71.20 113.78 621.46 0.46
44669.569444446 01 40 71.35 113.89 621.69 0.46
44669.570138890 01 41 71.49 114.00 621.93 0.46
44669.570833335 01 42 71.63 114.10 622.16 0.46
44669.571527779 01 43 71.77 114.21 622.39 0.46
44669.572222223 01 44 71.91 114.31 622.62 0.46
44669.572916668 01 45 72.05 114.41 622.80 0.46
44669.573611112 01 46 72.19 114.51 622.91 0.46
44669.574305557 01 47 72.32 114.61 623.02 0.46
44669.575000001 01 48 72.45 114.71 623.13 0.46
44669.575694446 01 49 72.59 114.81 623.24 0.46
44669.576388890 01 50 72.72 114.91 623.34 0.46
44669.577083335 01 51 72.84 115.00 623.45 0.46
44669.577777779 01 52 72.97 115.10 623.55 0.45
44669.578472223 01 53 73.09 115.19 623.65 0.45
44669.579166668 01 54 73.22 115.28 623.75 0.45
44669.579861112 01 55 73.34 115.38 623.85 0.45
44669.580555557 01 56 73.45 115.47 623.95 0.45
44669.581250001 01 57 73.57 115.56 624.04 0.45
44669.581944446 01 58 73.69 115.65 624.14 0.45
44669.582638890 01 59 73.80 115.73 624.23 0.45
44669.583333335 02 00 73.91 115.82 624.32 0.45
44669.584027779 02 01 74.02 115.91 624.41 0.45
44669.584722223 02 02 74.12 115.99 624.49 0.45
44669.585416668 02 03 74.23 116.08 624.58 0.45
44669.586111112 02 04 74.33 116.16 624.66 0.45
44669.586805557 02 05 74.43 116.24 624.74 0.45
44669.587500001 02 06 74.53 116.32 624.82 0.45
44669.588194446 02 07 74.62 116.40 624.90 0.45
44669.588888890 02 08 74.71 116.48 624.97 0.45
44669.589583335 02 09 74.80 116.56 625.05 0.44
44669.590277779 02 10 74.89 116.64 625.12 0.44
44669.590972223 02 11 74.97 116.72 625.19 0.44
44669.591666668 02 12 75.06 116.79 625.25 0.44
44669.592361112 02 13 75.14 116.87 625.32 0.44
44669.593055557 02 14 75.21 116.94 625.38 0.44
44669.593750001 02 15 75.29 117.01 625.44 0.44
44669.594444446 02 16 75.36 117.08 625.50 0.44
44669.595138890 02 17 75.42 117.16 625.56 0.44
44669.595833335 02 18 75.49 117.23 625.61 0.44
44669.596527779 02 19 75.55 117.29 625.66 0.44
44669.597222223 02 20 75.61 117.36 625.71 0.44
44669.597916668 02 21 75.67 117.43 625.76 0.44
44669.598611112 02 22 75.72 117.50 625.80 0.44
44669.599305557 02 23 75.77 117.56 625.84 0.44
44669.600000001 02 24 75.82 117.63 625.88 0.44
44669.600694446 02 25 75.86 117.69 625.91 0.44
44669.601388890 02 26 75.90 117.75 625.95 0.44
44669.602083335 02 27 75.94 117.81 625.98 0.44
44669.602777779 02 28 75.98 117.87 626.01 0.44
44669.603472224 02 29 76.01 117.93 626.03 0.44
44669.604166668 02 30 76.04 117.99 626.06 0.44
44669.604861112 02 31 76.06 118.05 626.08 0.43
44669.605555557 02 32 76.08 118.11 626.09 0.43
44669.606250001 02 33 76.10 118.17 626.11 0.43
44669.606944446 02 34 76.12 118.22 626.12 0.43
44669.607638890 02 35 76.13 118.28 626.13 0.43
44669.608333335 02 36 76.13 118.33 626.14 0.43
44669.609027779 02 37 76.14 118.38 626.14 0.43
44669.609722224 02 38 76.14 118.44 626.14 0.43
44669.610416668 02 39 76.14 118.49 626.14 0.43
44669.611111112 02 40 76.13 118.54 626.14 0.43
44669.611805557 02 41 76.13 118.59 626.13 0.43
44669.612500001 02 42 76.11 118.64 626.12 0.43
44669.613194446 02 43 76.10 118.68 626.11 0.43
44669.613888890 02 44 76.08 118.73 626.09 0.43
44669.614583335 02 45 76.06 118.78 626.07 0.43
44669.615277779 02 46 76.03 118.82 626.05 0.43
44669.615972224 02 47 76.00 118.87 626.03 0.43
44669.616666668 02 48 75.97 118.91 626.00 0.43
44669.617361112 02 49 75.94 118.95 625.97 0.43
44669.618055557 02 50 75.90 119.00 625.94 0.43
44669.618750001 02 51 75.86 119.04 625.91 0.43
44669.619444446 02 52 75.81 119.08 625.87 0.43
44669.620138890 02 53 75.77 119.12 625.83 0.43
44669.620833335 02 54 75.72 119.16 625.79 0.43
44669.621527779 02 55 75.66 119.20 625.75 0.43
44669.622222224 02 56 75.60 119.23 625.70 0.43
44669.622916668 02 57 75.54 119.27 625.65 0.43
44669.623611112 02 58 75.48 119.31 625.60 0.43
44669.624305557 02 59 75.42 119.34 625.55 0.43
44669.625000001 03 00 75.35 119.38 625.49 0.43
44669.625694446 03 01 75.28 119.41 625.43 0.43
44669.626388890 03 02 75.20 119.44 625.37 0.43
44669.627083335 03 03 75.13 119.47 625.31 0.43
44669.627777779 03 04 75.05 119.51 625.25 0.43
44669.628472224 03 05 74.96 119.54 625.18 0.42
44669.629166668 03 06 74.88 119.57 625.11 0.42
44669.629861112 03 07 74.79 119.60 625.04 0.42
44669.630555557 03 08 74.70 119.62 624.96 0.42
44669.631250001 03 09 74.61 119.65 624.89 0.42
44669.631944446 03 10 74.51 119.68 624.81 0.42
44669.632638890 03 11 74.42 119.71 624.73 0.42
44669.633333335 03 12 74.32 119.73 624.65 0.42
44669.634027779 03 13 74.21 119.76 624.57 0.42
44669.634722224 03 14 74.11 119.78 624.48 0.42
44669.635416668 03 15 74.00 119.80 624.39 0.42
44669.636111113 03 16 73.90 119.83 624.31 0.42
44669.636805557 03 17 73.78 119.85 624.22 0.42
44669.637500001 03 18 73.67 119.87 624.12 0.42
44669.638194446 03 19 73.56 119.89 624.03 0.42
44669.638888890 03 20 73.44 119.91 623.93 0.42
