# muA, dmuA, ampA, muB, dmuB, ampB, timestrings
2.341610568576554030e+00 3.876095921117270748e-01 1.123781443770675960e-06 2.014103213028731076e+00 7.070350995834049357e-01 5.660280618477049629e-07 4.505141400706745480e+04
-6.031485359747219555e-01 3.821952844319215226e-01 9.980800197634230303e-07 -1.627483679283130868e+00 9.180498796941605200e-01 2.502753160686056892e-07 4.505144180717736162e+04
1.310683304337221244e+00 5.097962178553666623e-01 6.320779417963841637e-07 -4.946570317977994513e+00 8.532253754023703118e-01 2.845541848555287677e-07 4.505146958515552251e+04
3.122565201967115178e-01 3.969291810172898005e-01 5.163424217557004260e-07 -7.451200066682616141e-01 3.373670229400656528e-01 4.930331555067103274e-07 4.505149736309821310e+04
5.996832640568848793e-01 2.745083610378514227e-01 6.098007651021040945e-07 8.669208261314886865e-01 3.144144866576031316e-01 3.352016104921722536e-07 4.505152514829193387e+04
9.289741513170579612e-01 5.256036000907006178e-01 7.149810729538732212e-07 -3.953596620793429217e+00 9.221205806793013604e-01 2.359899166525265189e-07 4.505155293689014070e+04
-6.139617477202100604e-01 7.152631260203129449e-01 4.702764892818060837e-07 1.756090473938628493e+00 5.032734192797451156e-01 2.637716822515676726e-07 4.505158072211113904e+04
-1.681945051315466566e-01 7.530456911794851660e-01 4.693461403007650721e-07 -1.621475790269917727e+00 1.125178627797262854e+00 3.099268575635793045e-07 4.505160850964414567e+04
