# chiA, chiB
8.047628651545842837e-01 6.390938915078364646e-01
6.395918849179023091e-01 2.350416901645027701e-01
4.349423751196659360e-01 2.304007480532992702e-01
1.832543806728503533e-01 1.251168905245050034e-01
1.179090805720825058e-01 5.254479006820725329e-02
6.105933177750139107e-01 1.870322061124416180e-01
5.424935238776386059e-01 6.364382479102020929e-02
6.795635187985042958e-01 5.349582663243505065e-01
