# realtime, hour, min, alt, baseline, rate, SC
44668.500694445 00 01 35.33 83.73 289.79 0.49
44668.501388890 00 02 35.55 84.01 290.49 0.49
44668.502083334 00 03 35.77 84.30 291.19 0.48
44668.502777779 00 04 35.99 84.58 291.89 0.48
44668.503472223 00 05 36.21 84.86 292.49 0.48
44668.504166668 00 06 36.43 85.14 293.09 0.48
44668.504861112 00 07 36.66 85.43 293.69 0.47
44668.505555557 00 08 36.88 85.70 294.30 0.47
44668.506250001 00 09 37.10 85.98 294.94 0.47
44668.506944445 00 10 37.32 86.26 295.64 0.47
44668.507638890 00 11 37.54 86.54 296.35 0.46
44668.508333334 00 12 37.76 86.81 297.05 0.46
44668.509027779 00 13 37.98 87.09 297.75 0.46
44668.509722223 00 14 38.20 87.36 298.36 0.46
44668.510416668 00 15 38.43 87.64 298.96 0.45
44668.511111112 00 16 38.65 87.91 299.57 0.45
44668.511805557 00 17 38.87 88.18 300.17 0.45
44668.512500001 00 18 39.09 88.45 300.73 0.45
44668.513194445 00 19 39.31 88.72 301.23 0.44
44668.513888890 00 20 39.53 88.99 301.73 0.44
44668.514583334 00 21 39.76 89.26 302.24 0.44
44668.515277779 00 22 39.98 89.52 302.74 0.44
44668.515972223 00 23 40.20 89.79 303.33 0.43
44668.516666668 00 24 40.42 90.05 303.94 0.43
44668.517361112 00 25 40.64 90.32 304.54 0.43
44668.518055557 00 26 40.87 90.58 305.15 0.43
44668.518750001 00 27 41.09 90.84 305.71 0.43
44668.519444445 00 28 41.31 91.10 306.21 0.42
44668.520138890 00 29 41.53 91.36 306.72 0.42
44668.520833334 00 30 41.76 91.62 307.22 0.42
44668.521527779 00 31 41.98 91.88 307.72 0.42
44668.522222223 00 32 42.20 92.13 308.23 0.41
44668.522916668 00 33 42.42 92.39 308.73 0.41
44668.523611112 00 34 42.64 92.64 309.24 0.41
44668.524305557 00 35 42.87 92.89 309.74 0.41
44668.525000001 00 36 43.09 93.15 310.24 0.41
44668.525694445 00 37 43.31 93.40 310.75 0.40
44668.526388890 00 38 43.54 93.65 311.25 0.40
44668.527083334 00 39 43.76 93.90 311.76 0.40
44668.527777779 00 40 43.98 94.14 312.26 0.40
44668.528472223 00 41 44.20 94.39 312.68 0.40
44668.529166668 00 42 44.43 94.64 313.08 0.39
44668.529861112 00 43 44.65 94.88 313.48 0.39
44668.530555557 00 44 44.87 95.13 313.89 0.39
44668.531250001 00 45 45.09 95.37 314.34 0.39
44668.531944446 00 46 45.32 95.61 314.84 0.38
44668.532638890 00 47 45.54 95.85 315.35 0.38
44668.533333334 00 48 45.76 96.09 315.85 0.38
44668.534027779 00 49 45.99 96.33 316.36 0.38
44668.534722223 00 50 46.21 96.56 316.77 0.38
44668.535416668 00 51 46.43 96.80 317.17 0.37
44668.536111112 00 52 46.66 97.04 317.58 0.37
44668.536805557 00 53 46.88 97.27 317.98 0.37
44668.537500001 00 54 47.10 97.50 318.39 0.37
44668.538194446 00 55 47.33 97.73 318.79 0.37
44668.538888890 00 56 47.55 97.96 319.20 0.37
44668.539583334 00 57 47.77 98.19 319.60 0.36
44668.540277779 00 58 48.00 98.42 320.01 0.36
44668.540972223 00 59 48.22 98.65 320.41 0.36
44668.541666668 01 00 48.44 98.87 320.82 0.36
44668.542361112 01 01 48.67 99.10 321.22 0.36
44668.543055557 01 02 48.89 99.32 321.63 0.35
44668.543750001 01 03 49.11 99.54 321.98 0.35
44668.544444446 01 04 49.34 99.77 322.29 0.35
