# realtime, hour, min, alt, baseline, rate, SC
44668.665277779 03 58 86.82 120.06 349.85 0.20
44668.665972224 03 59 86.90 120.08 349.88 0.20
44668.666666668 04 00 86.95 120.10 349.91 0.20
44668.667361113 04 01 87.00 120.11 349.93 0.20
44668.668055557 04 02 87.02 120.13 349.93 0.20
44668.668750002 04 03 87.03 120.14 349.93 0.20
44668.669444446 04 04 87.03 120.16 349.93 0.20
44668.670138890 04 05 87.00 120.17 349.93 0.20
44668.670833335 04 06 86.96 120.18 349.91 0.20
44668.671527779 04 07 86.90 120.19 349.88 0.20
44668.672222224 04 08 86.82 120.20 349.85 0.20
44668.672916668 04 09 86.74 120.20 349.81 0.20
44668.673611113 04 10 86.63 120.21 349.76 0.20
44668.674305557 04 11 86.52 120.22 349.71 0.20
44668.675000002 04 12 86.40 120.22 349.66 0.20
44668.675694446 04 13 86.26 120.23 349.60 0.20
44668.676388890 04 14 86.12 120.23 349.53 0.20
44668.677083335 04 15 85.97 120.23 349.48 0.20
44668.677777779 04 16 85.81 120.24 349.48 0.20
44668.678472224 04 17 85.65 120.24 349.48 0.20
44668.679166668 04 18 85.48 120.24 349.48 0.20
44668.679861113 04 19 85.31 120.24 349.48 0.20
44668.680555557 04 20 85.13 120.23 349.48 0.20
44668.681250002 04 21 84.95 120.23 349.48 0.20
44668.681944446 04 22 84.76 120.23 349.48 0.20
44668.682638890 04 23 84.57 120.22 349.48 0.20
44668.683333335 04 24 84.38 120.22 349.48 0.20
44668.684027779 04 25 84.18 120.21 349.48 0.20
44668.684722224 04 26 83.99 120.21 349.47 0.20
44668.685416668 04 27 83.79 120.20 349.38 0.20
44668.686111113 04 28 83.59 120.19 349.29 0.20
