# muA, dmuA, ampA, muB, dmuB, ampB, timestrings
7.495888731015278861e-01 3.715690882111337690e-01 7.232640639767279859e-07 2.116684046496860816e+01 8.979379132361267057e-01 2.136807842423970101e-07 4.505245123806381162e+04
8.215435290267947277e-01 4.602096967923488546e-01 6.483313980427359604e-07 6.375488255290798767e-01 6.173164576011628268e-01 2.782707492207812356e-07 4.505247973496346094e+04
8.001205668334868681e-01 4.790695365716188259e-01 8.444451674227185280e-07 -7.437785799694676125e-01 3.190808893460381768e+00 -1.038628469635070505e-07 4.505250821405927854e+04
5.766357926975155257e-01 3.216352411199407402e-01 8.689150044113933776e-07 -1.853478743264689754e+00 7.550149764694938925e-01 2.851879147194215887e-07 4.505253671215027862e+04
1.479592726809676462e+00 3.976059796921960210e-01 8.959658006217722705e-07 -3.628385349131391990e+00 1.089038131648333296e+00 2.079381088095196979e-07 4.505256520309270127e+04
8.066420672703187300e-01 2.968871205449776784e-01 1.098866501992674868e-06 1.527570123167636823e-02 inf 4.124942326586194766e-07 4.505259368649821408e+04
6.279505287907688471e-01 2.022764602195839534e-01 1.497398665904426817e-06 -1.386398534265671278e+00 3.992070631202227493e-01 5.464657359030842766e-07 4.505262398354368634e+04
1.187158901304902425e+00 4.287089976955221204e-01 1.063969779216987246e-06 -1.512199257155642629e+00 1.109562906733285503e+00 3.127748918313693707e-07 4.505265393299530842e+04
