# chiA, chiB
6.645132517622802659e-01 2.833951138330876307e-01
8.349756311253752061e-01 2.996372070940296339e-01
1.495567991016298448e+00 8.306589799468232505e-01
8.096779561016869131e-01 3.704074396216276432e-01
1.194834474713716732e+00 3.992897442156667642e-01
1.004531016330311832e+00 6.396963756387189504e-01
9.022051886798081455e-01 3.494273921171453523e-01
1.943175163008077355e+00 8.679189909196273200e-01
