# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 03 17 00 35.02 0.00 0.00 0.00 0.00
2023 05 03 17 01 35.14 0.00 0.00 0.00 0.00
2023 05 03 17 02 35.26 0.00 0.00 0.00 0.00
2023 05 03 17 03 35.38 0.00 0.00 0.00 0.00
2023 05 03 17 04 35.50 0.00 0.00 0.00 0.00
2023 05 03 17 05 35.62 0.00 0.00 0.00 0.00
2023 05 03 17 06 35.74 0.00 0.00 0.00 0.00
2023 05 03 17 07 35.86 0.00 0.00 0.00 0.00
2023 05 03 17 08 35.98 0.00 0.00 0.00 0.00
2023 05 03 17 09 36.11 153.53 118.41 74.06 33.15
2023 05 03 17 10 36.23 153.63 118.40 74.26 33.35
2023 05 03 17 11 36.35 153.72 118.39 74.47 33.55
2023 05 03 17 12 36.47 153.82 118.39 74.68 33.76
2023 05 03 17 13 36.59 153.91 118.38 74.88 33.96
2023 05 03 17 14 36.71 154.01 118.37 75.09 34.17
2023 05 03 17 15 36.83 154.10 118.36 75.29 34.38
2023 05 03 17 16 36.94 154.20 118.36 75.50 34.59
2023 05 03 17 17 37.06 154.30 118.35 75.70 34.80
2023 05 03 17 18 37.18 154.39 118.34 75.91 35.01
2023 05 03 17 19 37.30 154.49 118.33 76.11 35.23
2023 05 03 17 20 37.42 154.59 118.32 76.31 35.44
2023 05 03 17 21 37.54 154.69 118.32 76.52 35.66
2023 05 03 17 22 37.66 154.78 118.31 76.72 35.88
2023 05 03 17 23 37.78 154.88 118.30 76.92 36.10
2023 05 03 17 24 37.89 154.98 118.29 77.12 36.32
2023 05 03 17 25 38.01 155.08 118.28 77.33 36.54
2023 05 03 17 26 38.13 155.18 118.27 77.53 36.76
2023 05 03 17 27 38.25 155.28 118.26 77.73 36.99
2023 05 03 17 28 38.36 155.38 118.25 77.93 37.22
2023 05 03 17 29 38.48 155.47 118.24 78.13 37.45
2023 05 03 17 30 38.60 155.57 118.23 78.33 37.67
2023 05 03 17 31 38.71 155.67 118.22 78.53 37.91
2023 05 03 17 32 38.83 155.77 118.21 78.73 38.14
2023 05 03 17 33 38.95 155.87 118.20 78.93 38.37
2023 05 03 17 34 39.06 155.97 118.19 79.13 38.61
2023 05 03 17 35 39.18 156.07 118.18 79.32 38.84
2023 05 03 17 36 39.29 156.18 118.17 79.52 39.08
2023 05 03 17 37 39.41 156.28 118.15 79.72 39.32
2023 05 03 17 38 39.52 156.38 118.14 79.92 39.56
2023 05 03 17 39 39.64 156.48 118.13 80.11 39.81
2023 05 03 17 40 39.75 156.58 118.12 80.31 40.05
