# year, month, day, hour, min, alt, bl13, bl14, bl34, moon 
2023 05 04 17 00 35.49 0.00 0.00 0.00 0.00
2023 05 04 17 01 35.61 0.00 0.00 0.00 0.00
2023 05 04 17 02 35.74 0.00 0.00 0.00 0.00
2023 05 04 17 03 35.86 0.00 0.00 0.00 0.00
2023 05 04 17 04 35.98 0.00 0.00 0.00 0.00
2023 05 04 17 05 36.10 0.00 0.00 0.00 0.00
2023 05 04 17 06 36.22 0.00 0.00 0.00 0.00
2023 05 04 17 07 36.34 0.00 0.00 0.00 0.00
2023 05 04 17 08 36.46 153.81 118.39 74.66 29.06
2023 05 04 17 09 36.58 153.91 118.38 74.87 29.17
2023 05 04 17 10 36.70 154.00 118.37 75.07 29.28
2023 05 04 17 11 36.82 154.10 118.37 75.28 29.40
2023 05 04 17 12 36.94 154.19 118.36 75.48 29.51
2023 05 04 17 13 37.06 154.29 118.35 75.69 29.63
2023 05 04 17 14 37.17 154.39 118.34 75.89 29.75
2023 05 04 17 15 37.29 154.48 118.33 76.10 29.87
2023 05 04 17 16 37.41 154.58 118.33 76.30 29.99
2023 05 04 17 17 37.53 154.68 118.32 76.50 30.12
2023 05 04 17 18 37.65 154.78 118.31 76.71 30.24
2023 05 04 17 19 37.77 154.87 118.30 76.91 30.37
2023 05 04 17 20 37.89 154.97 118.29 77.11 30.50
2023 05 04 17 21 38.00 155.07 118.28 77.31 30.63
2023 05 04 17 22 38.12 155.17 118.27 77.51 30.76
2023 05 04 17 23 38.24 155.27 118.26 77.71 30.90
2023 05 04 17 24 38.36 155.37 118.25 77.91 31.03
2023 05 04 17 25 38.47 155.47 118.24 78.12 31.17
2023 05 04 17 26 38.59 155.57 118.23 78.32 31.31
2023 05 04 17 27 38.71 155.67 118.22 78.52 31.45
2023 05 04 17 28 38.82 155.77 118.21 78.71 31.60
2023 05 04 17 29 38.94 155.87 118.20 78.91 31.74
2023 05 04 17 30 39.05 155.97 118.19 79.11 31.89
2023 05 04 17 31 39.17 156.07 118.18 79.31 32.04
2023 05 04 17 32 39.29 156.17 118.17 79.51 32.19
2023 05 04 17 33 39.40 156.27 118.15 79.71 32.34
2023 05 04 17 34 39.52 156.37 118.14 79.90 32.49
2023 05 04 17 35 39.63 156.47 118.13 80.10 32.65
2023 05 04 17 36 39.75 156.57 118.12 80.30 32.81
2023 05 04 17 37 39.86 156.67 118.11 80.49 32.97
2023 05 04 17 38 39.97 156.77 118.09 80.69 33.13
2023 05 04 17 39 40.09 156.88 118.08 80.88 33.29
2023 05 04 17 40 40.20 156.98 118.07 81.08 33.45
2023 05 04 17 41 40.32 157.08 118.06 81.27 33.62
2023 05 04 17 42 40.43 157.18 118.04 81.46 33.79
2023 05 04 17 43 40.54 157.28 118.03 81.66 33.96
2023 05 04 17 44 40.65 157.38 118.01 81.85 34.13
2023 05 04 17 45 40.77 157.49 118.00 82.04 34.30
2023 05 04 17 46 40.88 157.59 117.99 82.23 34.47
2023 05 04 17 47 40.99 157.69 117.97 82.43 34.65
2023 05 04 17 48 41.10 157.79 117.96 82.62 34.83
2023 05 04 17 49 41.21 157.89 117.94 82.81 35.01
2023 05 04 17 50 41.32 157.99 117.93 83.00 35.19
2023 05 04 17 51 41.44 158.10 117.91 83.19 35.37
2023 05 04 17 52 41.55 158.20 117.90 83.38 35.56
2023 05 04 17 53 41.66 158.30 117.88 83.57 35.74
2023 05 04 17 54 41.77 158.40 117.87 83.76 35.93
2023 05 04 17 55 41.88 158.50 117.85 83.94 36.12
2023 05 04 17 56 41.99 158.61 117.83 84.13 36.31
2023 05 04 17 57 42.09 158.71 117.82 84.32 36.50
2023 05 04 17 58 42.20 158.81 117.80 84.50 36.70
2023 05 04 17 59 42.31 158.91 117.78 84.69 36.89
2023 05 04 18 00 42.42 159.01 117.77 84.88 37.09
2023 05 04 18 01 42.53 159.11 117.75 85.06 37.29
2023 05 04 18 02 42.64 159.21 117.73 85.25 37.49
2023 05 04 18 03 42.74 159.32 117.71 85.43 37.69
2023 05 04 18 04 42.85 159.42 117.69 85.61 37.90
2023 05 04 18 05 42.96 159.52 117.68 85.80 38.10
2023 05 04 18 06 43.06 159.62 117.66 85.98 38.31
2023 05 04 18 07 43.17 159.72 117.64 86.16 38.52
2023 05 04 18 08 43.27 159.82 117.62 86.34 38.73
2023 05 04 18 09 43.38 159.92 117.60 86.53 38.95
2023 05 04 18 10 43.48 160.02 117.58 86.71 39.16
2023 05 04 18 11 43.59 160.12 117.56 86.89 39.38
2023 05 04 18 12 43.69 160.22 117.54 87.07 39.59
2023 05 04 18 13 43.80 160.32 117.52 87.25 39.81
2023 05 04 18 14 43.90 160.42 117.50 87.42 40.03
2023 05 04 18 15 44.00 160.52 117.48 87.60 40.26
2023 05 04 18 16 44.11 160.62 117.46 87.78 40.48
2023 05 04 18 17 44.21 160.72 117.44 87.96 40.71
2023 05 04 18 18 44.31 160.82 117.42 88.13 40.93
2023 05 04 18 19 44.41 160.91 117.39 88.31 41.16
2023 05 04 18 20 44.51 161.01 117.37 88.49 41.39
2023 05 04 18 21 44.62 161.11 117.35 88.66 41.62
2023 05 04 18 22 44.72 161.21 117.33 88.84 41.86
2023 05 04 18 23 44.82 161.31 117.30 89.01 42.09
2023 05 04 18 24 44.92 161.40 117.28 89.18 42.33
