# realtime, hour, min, alt, baseline, rate, SC
44673.406250001 21 45 10.20 47.13 104.85 0.80
44673.406944445 21 46 10.41 47.44 107.89 0.80
44673.407638890 21 47 10.62 47.76 110.94 0.80
44673.408333334 21 48 10.83 48.07 113.99 0.80
44673.409027778 21 49 11.04 48.38 117.02 0.79
44673.409722223 21 50 11.25 48.69 119.98 0.79
44673.410416667 21 51 11.46 49.01 122.94 0.79
44673.411111112 21 52 11.67 49.32 125.90 0.79
44673.411805556 21 53 11.88 49.64 128.87 0.79
44673.412500001 21 54 12.09 49.96 131.71 0.78
44673.413194445 21 55 12.30 50.28 134.39 0.78
44673.413888890 21 56 12.51 50.59 137.07 0.78
44673.414583334 21 57 12.73 50.91 139.75 0.78
44673.415277778 21 58 12.94 51.23 142.43 0.77
44673.415972223 21 59 13.15 51.55 145.05 0.77
44673.416666667 22 00 13.36 51.87 147.64 0.77
44673.417361112 22 01 13.57 52.19 150.24 0.76
44673.418055556 22 02 13.78 52.52 152.83 0.76
44673.418750001 22 03 14.00 52.84 155.43 0.76
44673.419444445 22 04 14.21 53.16 157.83 0.76
44673.420138890 22 05 14.42 53.48 160.24 0.75
44673.420833334 22 06 14.63 53.81 162.65 0.75
44673.421527778 22 07 14.85 54.13 165.06 0.75
44673.422222223 22 08 15.06 54.45 167.42 0.75
44673.422916667 22 09 15.27 54.78 169.63 0.74
44673.423611112 22 10 15.48 55.10 171.85 0.74
44673.424305556 22 11 15.70 55.43 174.07 0.74
44673.425000001 22 12 15.91 55.75 176.30 0.74
44673.425694445 22 13 16.12 56.08 178.41 0.73
44673.426388890 22 14 16.34 56.40 180.44 0.73
44673.427083334 22 15 16.55 56.73 182.47 0.73
44673.427777778 22 16 16.76 57.05 184.51 0.72
44673.428472223 22 17 16.98 57.38 186.54 0.72
44673.429166667 22 18 17.19 57.71 188.57 0.72
44673.429861112 22 19 17.41 58.03 190.61 0.72
44673.430555556 22 20 17.62 58.36 192.65 0.71
44673.431250001 22 21 17.83 58.68 194.69 0.71
44673.431944445 22 22 18.05 59.01 196.66 0.71
44673.432638890 22 23 18.26 59.34 198.41 0.71
44673.433333334 22 24 18.48 59.66 200.16 0.70
44673.434027779 22 25 18.69 59.99 201.91 0.70
44673.434722223 22 26 18.91 60.32 203.66 0.70
44673.435416667 22 27 19.12 60.64 205.41 0.69
44673.436111112 22 28 19.34 60.97 207.17 0.69
44673.436805556 22 29 19.55 61.29 208.92 0.69
44673.437500001 22 30 19.77 61.62 210.68 0.69
44673.438194445 22 31 19.98 61.94 212.43 0.68
44673.438888890 22 32 20.20 62.27 214.01 0.68
