# realtime, hour, min, alt, baseline, rate, SC
44672.489583334 23 45 35.27 83.65 289.59 0.49
44672.490277779 23 46 35.49 83.93 290.29 0.49
44672.490972223 23 47 35.71 84.22 290.99 0.48
44672.491666668 23 48 35.93 84.50 291.69 0.48
44672.492361112 23 49 36.15 84.79 292.33 0.48
44672.493055556 23 50 36.37 85.07 292.93 0.48
44672.493750001 23 51 36.60 85.35 293.53 0.47
44672.494444445 23 52 36.82 85.63 294.13 0.47
44672.495138890 23 53 37.04 85.91 294.75 0.47
44672.495833334 23 54 37.26 86.19 295.45 0.47
44672.496527779 23 55 37.48 86.46 296.15 0.46
44672.497222223 23 56 37.70 86.74 296.85 0.46
44672.497916668 23 57 37.92 87.01 297.56 0.46
44672.498611112 23 58 38.14 87.29 298.19 0.46
44672.499305557 23 59 38.37 87.56 298.80 0.45
44672.500000001 00 00 38.59 87.83 299.40 0.45
44672.500694445 00 01 38.81 88.11 300.00 0.45
44672.501388890 00 02 39.03 88.38 300.59 0.45
44672.502083334 00 03 39.25 88.65 301.09 0.44
44672.502777779 00 04 39.47 88.92 301.60 0.44
44672.503472223 00 05 39.70 89.18 302.10 0.44
44672.504166668 00 06 39.92 89.45 302.60 0.44
44672.504861112 00 07 40.14 89.72 303.17 0.44
44672.505555557 00 08 40.36 89.98 303.77 0.43
44672.506250001 00 09 40.58 90.24 304.38 0.43
44672.506944445 00 10 40.81 90.51 304.98 0.43
44672.507638890 00 11 41.03 90.77 305.57 0.43
44672.508333334 00 12 41.25 91.03 306.07 0.42
44672.509027779 00 13 41.47 91.29 306.58 0.42
44672.509722223 00 14 41.69 91.55 307.08 0.42
44672.510416668 00 15 41.92 91.81 307.59 0.42
44672.511111112 00 16 42.14 92.06 308.09 0.41
44672.511805557 00 17 42.36 92.32 308.59 0.41
44672.512500001 00 18 42.58 92.57 309.10 0.41
44672.513194445 00 19 42.81 92.83 309.60 0.41
44672.513888890 00 20 43.03 93.08 310.11 0.41
44672.514583334 00 21 43.25 93.33 310.61 0.40
44672.515277779 00 22 43.47 93.58 311.12 0.40
44672.515972223 00 23 43.70 93.83 311.62 0.40
44672.516666668 00 24 43.92 94.08 312.12 0.40
44672.517361112 00 25 44.14 94.32 312.57 0.40
44672.518055557 00 26 44.36 94.57 312.97 0.39
44672.518750001 00 27 44.59 94.82 313.37 0.39
44672.519444445 00 28 44.81 95.06 313.78 0.39
44672.520138890 00 29 45.03 95.30 314.20 0.39
44672.520833334 00 30 45.26 95.54 314.70 0.39
44672.521527779 00 31 45.48 95.78 315.21 0.38
44672.522222223 00 32 45.70 96.02 315.71 0.38
44672.522916668 00 33 45.93 96.26 316.22 0.38
44672.523611112 00 34 46.15 96.50 316.66 0.38
44672.524305557 00 35 46.37 96.74 317.06 0.38
44672.525000001 00 36 46.59 96.97 317.47 0.37
44672.525694445 00 37 46.82 97.20 317.87 0.37
44672.526388890 00 38 47.04 97.44 318.28 0.37
44672.527083334 00 39 47.26 97.67 318.68 0.37
44672.527777779 00 40 47.49 97.90 319.09 0.37
44672.528472223 00 41 47.71 98.13 319.49 0.36
44672.529166668 00 42 47.94 98.36 319.90 0.36
44672.529861112 00 43 48.16 98.59 320.30 0.36
44672.530555557 00 44 48.38 98.81 320.71 0.36
44672.531250001 00 45 48.61 99.04 321.11 0.36
44672.531944446 00 46 48.83 99.26 321.52 0.35
44672.532638890 00 47 49.05 99.48 321.90 0.35
44672.533333334 00 48 49.28 99.70 322.20 0.35
44672.534027779 00 49 49.50 99.93 322.51 0.35
44672.534722223 00 50 49.72 100.14 322.81 0.35
44672.535416668 00 51 49.95 100.36 323.12 0.35
44672.536111112 00 52 50.17 100.58 323.50 0.34
44672.536805557 00 53 50.40 100.80 323.90 0.34
44672.537500001 00 54 50.62 101.01 324.31 0.34
44672.538194446 00 55 50.84 101.22 324.71 0.34
44672.538888890 00 56 51.07 101.44 325.09 0.34
44672.539583334 00 57 51.29 101.65 325.39 0.34
44672.540277779 00 58 51.51 101.86 325.70 0.33
44672.540972223 00 59 51.74 102.07 326.00 0.33
44672.541666668 01 00 51.96 102.27 326.31 0.33
44672.542361112 01 01 52.19 102.48 326.61 0.33
44672.543055557 01 02 52.41 102.68 326.92 0.33
44672.543750001 01 03 52.63 102.89 327.22 0.33
44672.544444446 01 04 52.86 103.09 327.53 0.32
44672.545138890 01 05 53.08 103.29 327.83 0.32
44672.545833334 01 06 53.31 103.49 328.14 0.32
44672.546527779 01 07 53.53 103.69 328.44 0.32
44672.547222223 01 08 53.76 103.89 328.75 0.32
44672.547916668 01 09 53.98 104.09 329.05 0.32
44672.548611112 01 10 54.20 104.28 329.36 0.31
44672.549305557 01 11 54.43 104.48 329.66 0.31
44672.550000001 01 12 54.65 104.67 329.97 0.31
44672.550694446 01 13 54.88 104.86 330.27 0.31
44672.551388890 01 14 55.10 105.06 330.58 0.31
44672.552083334 01 15 55.33 105.24 330.88 0.31
44672.552777779 01 16 55.55 105.43 331.19 0.31
44672.553472223 01 17 55.78 105.62 331.49 0.30
44672.554166668 01 18 56.00 105.81 331.80 0.30
44672.554861112 01 19 56.22 105.99 332.00 0.30
44672.555555557 01 20 56.45 106.18 332.21 0.30
44672.556250001 01 21 56.67 106.36 332.41 0.30
44672.556944446 01 22 56.90 106.54 332.61 0.30
44672.557638890 01 23 57.12 106.72 332.87 0.30
44672.558333334 01 24 57.35 106.90 333.18 0.29
44672.559027779 01 25 57.57 107.08 333.48 0.29
44672.559722223 01 26 57.80 107.25 333.79 0.29
44672.560416668 01 27 58.02 107.43 334.08 0.29
44672.561111112 01 28 58.25 107.60 334.29 0.29
44672.561805557 01 29 58.47 107.77 334.49 0.29
44672.562500001 01 30 58.69 107.95 334.70 0.29
44672.563194446 01 31 58.92 108.12 334.90 0.29
44672.563888890 01 32 59.14 108.29 335.17 0.28
44672.564583334 01 33 59.37 108.45 335.47 0.28
44672.565277779 01 34 59.59 108.62 335.78 0.28
44672.565972223 01 35 59.82 108.78 336.08 0.28
